Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,time
SRR17196386,RNA-Seq,76,778687868,PRJNA787900,SAMN23849059,322484616,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX13376846,GSM5726909,before infection,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726909,Staphylococcus aureus Newman growing exponentionally in MPB,SRP350254,Newman,before infection
SRR17196387,RNA-Seq,76,907009080,PRJNA787900,SAMN23849060,376622653,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX13376847,GSM5726910,before infection,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:13:00Z,1,GSM5726910,Staphylococcus aureus Newman growing exponentionally in MPB,SRP350254,Newman,before infection
SRR17196388,RNA-Seq,76,958096812,PRJNA787900,SAMN23849061,393834226,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX13376848,GSM5726911,before infection,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:11:00Z,1,GSM5726911,Staphylococcus aureus Newman growing exponentionally in MPB,SRP350254,Newman,before infection
SRR17196389,RNA-Seq,76,979065212,PRJNA787900,SAMN23849062,403547053,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX13376849,GSM5726912,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:13:00Z,1,GSM5726912,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,0 min
SRR17196390,RNA-Seq,76,950473632,PRJNA787900,SAMN23849063,392892745,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX13376850,GSM5726913,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:13:00Z,1,GSM5726913,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,0 min
SRR17196391,RNA-Seq,76,867456400,PRJNA787900,SAMN23849064,362617182,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX13376851,GSM5726914,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726914,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,0 min
SRR17196392,RNA-Seq,76,852896624,PRJNA787900,SAMN23849065,352038350,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX13376852,GSM5726915,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:11:00Z,1,GSM5726915,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,2 min
SRR17196393,RNA-Seq,76,792068428,PRJNA787900,SAMN23849039,327025498,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX13376853,GSM5726916,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726916,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,2 min
SRR17196394,RNA-Seq,76,848894160,PRJNA787900,SAMN23849040,354012607,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX13376854,GSM5726917,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726917,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,2 min
SRR17196395,RNA-Seq,76,1006433116,PRJNA787900,SAMN23849041,416683625,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13376855,GSM5726918,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:13:00Z,1,GSM5726918,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,5 min
SRR17196396,RNA-Seq,76,887327664,PRJNA787900,SAMN23849042,366641396,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX13376856,GSM5726919,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:13:00Z,1,GSM5726919,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,5 min
SRR17196397,RNA-Seq,76,866427968,PRJNA787900,SAMN23849043,359642726,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX13376857,GSM5726920,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726920,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,5 min
SRR17196398,RNA-Seq,76,963802208,PRJNA787900,SAMN23849044,398450667,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX13376858,GSM5726921,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:13:00Z,1,GSM5726921,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,10 min
SRR17196399,RNA-Seq,76,792843856,PRJNA787900,SAMN23849045,327928316,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX13376859,GSM5726922,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726922,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,10 min
SRR17196400,RNA-Seq,76,839533696,PRJNA787900,SAMN23849046,349335897,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX13376860,GSM5726923,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726923,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,10 min
SRR17196401,RNA-Seq,76,927656836,PRJNA787900,SAMN23849047,382321339,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX13376861,GSM5726924,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:11:00Z,1,GSM5726924,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,20 min
SRR17196402,RNA-Seq,76,766147716,PRJNA787900,SAMN23849048,318413807,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX13376862,GSM5726925,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726925,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,20 min
SRR17196403,RNA-Seq,76,915727420,PRJNA787900,SAMN23849049,381512003,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX13376863,GSM5726926,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:13:00Z,1,GSM5726926,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,20 min
SRR17196404,RNA-Seq,76,1069700836,PRJNA787900,SAMN23849050,440205614,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13376864,GSM5726927,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus subsp. aureus str. Newman,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726927,Staphylococcus aureus Newman growing exponentionally in MPB infected with phage K,SRP350254,Newman,30 min
