Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id,Serovar
ERR3211043,RNA-Seq,75,2262971775,PRJEB31642,SAMEA5412320,970423393,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2019-03-11,2019-03-11T17:03:43Z,2019-03-11,2019-03-11T13:10:44Z,ERX3238654,SAMEA5412320,WEIZMANN INSTITUE OF SCIENCE,2019-03-11T17:03:43Z,2019-03-11T13:10:44Z,public,NextSeq 500,unspecified,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Bacillus thuringiensis serovar galleriae,ILLUMINA,2019-03-12T00:00:00Z,2019-03-15T05:53:00Z,1,SAMEA5412320,RNAseq_Bacillus_thuringiensis_Waukesha92-like_phage_infection_t120_no_pep,Bacillus thuringiensis serovar galleriae,ERP114217,RNAseq_Bacillus_thuringiensis_Waukesha92-like_phage_infection_t120_no_pep,galleriae
ERR3211044,RNA-Seq,75,3436451700,PRJEB31642,SAMEA5412321,1466927831,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2019-03-11,2019-03-11T17:03:43Z,2019-03-11,2019-03-11T13:10:44Z,ERX3238655,SAMEA5412321,WEIZMANN INSTITUE OF SCIENCE,2019-03-11T17:03:43Z,2019-03-11T13:10:44Z,public,NextSeq 500,unspecified,SINGLE,Inverse rRNA,TRANSCRIPTOMIC,Bacillus thuringiensis serovar galleriae,ILLUMINA,2019-03-12T00:00:00Z,2019-03-15T06:16:00Z,1,SAMEA5412321,RNAseq_Bacillus_thuringiensis_Waukesha92-like_phage_infection_t120_with_pep,Bacillus thuringiensis serovar galleriae,ERP114217,RNAseq_Bacillus_thuringiensis_Waukesha92-like_phage_infection_t120_with_pep,galleriae
