Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR318669,RNA-Seq,101,610097873,PRJDB12232,SAMD00402976,170377552,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308017,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:57:00Z,1,SAMD00402976,40_0M1,DRP010465
DRR318670,RNA-Seq,101,854152354,PRJDB12232,SAMD00402977,238085471,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308018,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T15:08:00Z,1,SAMD00402977,40_0M2,DRP010465
DRR318671,RNA-Seq,101,856679172,PRJDB12232,SAMD00402978,238358268,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308019,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:57:00Z,1,SAMD00402978,40_10M1,DRP010465
DRR318672,RNA-Seq,101,645033672,PRJDB12232,SAMD00402979,179357136,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308020,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:58:00Z,1,SAMD00402979,40_10M2,DRP010465
DRR318673,RNA-Seq,101,1580551525,PRJDB12232,SAMD00402980,441114639,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308021,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:58:00Z,1,SAMD00402980,40_20M1,DRP010465
DRR318674,RNA-Seq,101,1202253601,PRJDB12232,SAMD00402981,333966392,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308022,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:57:00Z,1,SAMD00402981,40_20M2,DRP010465
DRR318675,RNA-Seq,101,1217393198,PRJDB12232,SAMD00402982,339947143,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308023,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T15:10:00Z,1,SAMD00402982,40_30M1,DRP010465
DRR318676,RNA-Seq,101,952252139,PRJDB12232,SAMD00402983,266391061,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308024,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:59:00Z,1,SAMD00402983,40_30M2,DRP010465
DRR318677,RNA-Seq,101,811901327,PRJDB12232,SAMD00402984,226190857,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308025,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:57:00Z,1,SAMD00402984,40_40M1,DRP010465
DRR318678,RNA-Seq,101,757369710,PRJDB12232,SAMD00402985,209975314,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308026,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:57:00Z,1,SAMD00402985,40_40M2,DRP010465
DRR318679,RNA-Seq,101,914986977,PRJDB12232,SAMD00402986,255495693,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308027,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:56:00Z,1,SAMD00402986,40_50M1,DRP010465
DRR318680,RNA-Seq,101,1180254488,PRJDB12232,SAMD00402987,327737640,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308028,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:56:00Z,1,SAMD00402987,40_50M2,DRP010465
DRR318681,RNA-Seq,101,1077835337,PRJDB12232,SAMD00402988,299753683,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308029,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:58:00Z,1,SAMD00402988,40_60M1,DRP010465
DRR318682,RNA-Seq,101,1167677463,PRJDB12232,SAMD00402989,324212438,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308030,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:58:00Z,1,SAMD00402989,40_60M2,DRP010465
DRR318683,RNA-Seq,101,1202165024,PRJDB12232,SAMD00402990,336881261,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308031,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:56:00Z,1,SAMD00402990,40_70M1,DRP010465
DRR318684,RNA-Seq,101,709305729,PRJDB12232,SAMD00402991,198732059,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308032,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:57:00Z,1,SAMD00402991,40_70M2,DRP010465
DRR318685,RNA-Seq,101,1233971944,PRJDB12232,SAMD00402992,343613574,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308033,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:57:00Z,1,SAMD00402992,40_80M1,DRP010465
DRR318686,RNA-Seq,101,975088340,PRJDB12232,SAMD00402993,270879309,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308034,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiYS40,ILLUMINA,2023-09-08T00:00:00Z,2023-09-17T14:57:00Z,1,SAMD00402993,40_80M2,DRP010465
