Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR318659,RNA-Seq,101,1950988619,PRJDB12232,SAMD00402994,545672218,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308007,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus thermophilus HB8,ILLUMINA,2023-09-13T00:00:00Z,2023-09-17T21:25:00Z,1,SAMD00402994,NC_0M,DRP010465
DRR318660,RNA-Seq,101,946102855,PRJDB12232,SAMD00402995,263456624,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308008,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus thermophilus HB8,ILLUMINA,2023-09-13T00:00:00Z,2023-09-17T21:25:00Z,1,SAMD00402995,NC_10M,DRP010465
DRR318661,RNA-Seq,101,1214031716,PRJDB12232,SAMD00402996,337847289,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308009,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus thermophilus HB8,ILLUMINA,2023-09-13T00:00:00Z,2023-09-17T21:25:00Z,1,SAMD00402996,NC_20M,DRP010465
DRR318662,RNA-Seq,101,2404787174,PRJDB12232,SAMD00402997,677242062,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308010,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus thermophilus HB8,ILLUMINA,2023-09-13T00:00:00Z,2023-09-17T21:26:00Z,1,SAMD00402997,NC_30M,DRP010465
DRR318663,RNA-Seq,101,754481211,PRJDB12232,SAMD00402998,210624004,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308011,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus thermophilus HB8,ILLUMINA,2023-09-13T00:00:00Z,2023-09-17T21:24:00Z,1,SAMD00402998,NC_40M,DRP010465
DRR318664,RNA-Seq,101,706039591,PRJDB12232,SAMD00402999,196188437,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308012,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus thermophilus HB8,ILLUMINA,2023-09-13T00:00:00Z,2023-09-17T21:25:00Z,1,SAMD00402999,NC_50M,DRP010465
DRR318665,RNA-Seq,101,1014227658,PRJDB12232,SAMD00403000,283604016,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308013,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus thermophilus HB8,ILLUMINA,2023-09-13T00:00:00Z,2023-09-17T21:24:00Z,1,SAMD00403000,NC_60M,DRP010465
DRR318666,RNA-Seq,101,955963889,PRJDB12232,SAMD00403001,268300610,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308014,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus thermophilus HB8,ILLUMINA,2023-09-13T00:00:00Z,2023-09-17T22:28:00Z,2,SAMD00403001,NC_70M,DRP010465
DRR318667,RNA-Seq,101,1098820107,PRJDB12232,SAMD00403002,305291332,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX308015,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus thermophilus HB8,ILLUMINA,2023-09-13T00:00:00Z,2023-09-17T21:25:00Z,1,SAMD00403002,NC_80M,DRP010465
