Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,time_point,treatment
SRR27597813,RNA-Seq,202,5681921044,PRJNA1065939,SAMN39476172,1888173324,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23266259,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022438,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:04:00Z,1,GSM8022438,NRS384,SRP484313,0 min,infected with phage K
SRR27597814,RNA-Seq,202,6597329696,PRJNA1065939,SAMN39476173,2217684693,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX23266258,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022437,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:04:00Z,1,GSM8022437,NRS384,SRP484313,0 min,infected with phage K
SRR27597815,RNA-Seq,202,5306751898,PRJNA1065939,SAMN39476120,1787453304,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23266257,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022490,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:02:00Z,1,GSM8022490,NRS384,SRP484313,40 min,infected with phage K
SRR27597816,RNA-Seq,202,5933188238,PRJNA1065939,SAMN39476121,1976892690,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX23266256,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022489,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:02:00Z,1,GSM8022489,NRS384,SRP484313,40 min,infected with phage K
SRR27597817,RNA-Seq,202,6067617016,PRJNA1065939,SAMN39476122,2038020079,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX23266255,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022488,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:04:00Z,1,GSM8022488,NRS384,SRP484313,40 min,infected with phage K
SRR27597818,RNA-Seq,202,8063967664,PRJNA1065939,SAMN39476123,2683552584,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX23266254,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022487,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:07:00Z,1,GSM8022487,NRS384,SRP484313,40 min,infected with phage K
SRR27597819,RNA-Seq,202,6808082962,PRJNA1065939,SAMN39476124,2249793497,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23266253,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022486,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:03:00Z,1,GSM8022486,NRS384,SRP484313,30 min,infected with phage K
SRR27597820,RNA-Seq,202,8688626202,PRJNA1065939,SAMN39476125,2868597786,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23266252,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022485,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:04:00Z,1,GSM8022485,NRS384,SRP484313,30 min,infected with phage K
SRR27597821,RNA-Seq,202,5779687630,PRJNA1065939,SAMN39476174,1917735164,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX23266251,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022436,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:02:00Z,1,GSM8022436,NRS384,SRP484313,0 min,infected with phage K
SRR27597822,RNA-Seq,202,5576002142,PRJNA1065939,SAMN39476175,1844009831,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23266250,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022435,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:04:00Z,1,GSM8022435,NRS384,SRP484313,0 min,infected with phage K
